method,q_num,question,ground_truth,predicted,keywords,em,precision,recall,f1,answer_time_sec
original,1,How did Cinderella reach her happy ending?,"The prince found Cinderella by fitting the glass slipper on her foot, recognized her, and they married.",Cinderella married the prince,"prince, slipper, married",0,1.0,0.2353,0.381,10.779
original,2,Who helped Cinderella attend the ball?,Her fairy godmother appeared and transformed a pumpkin into a coach and her worn clothes into a beautiful gown.,fairy godmother,"fairy, godmother",1,1.0,0.1053,0.1905,1.36
original,3,What did Cinderella leave behind at the ball?,Cinderella left behind one glass slipper when she fled before midnight.,glass slipper,"glass, slipper",1,1.0,0.1818,0.3077,1.386
original,4,Why did Cinderella have to leave the ball before midnight?,The magic from the fairy godmother would end at midnight.,the magic would end,"magic, midnight",0,1.0,0.4,0.5714,1.448
original,5,How did the prince find Cinderella after the ball?,The prince searched the kingdom for the woman whose foot fit the glass slipper.,The prince searched the kingdom for the woman whose foot fit the slipper,"searched, slipper, fit",1,1.0,0.9286,0.963,2.369
original,6,What does the fairy godmother symbolize in the story?,The fairy godmother symbolizes hope.,hope,hope,1,1.0,0.2,0.3333,2.137
original,7,What is the glass slipper's role in the story?,The lost slipper is the key piece of evidence that allows the prince to identify Cinderella.,The lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella,"evidence, identify",1,0.9375,0.9375,0.9375,3.368
original,8,Who forced Cinderella to work day and night?,Her cruel stepmother and two jealous stepsisters forced her to work.,her cruel stepmother and two jealous stepsisters,"stepmother, stepsisters",1,1.0,0.6364,0.7778,3.528
original,9,What themes does the Cinderella story illustrate?,"The story illustrates transformation, perseverance, and recognition.","transformation, perseverance, and recognition","transformation, perseverance",1,1.0,0.5714,0.7273,2.182
original,10,What was the pumpkin transformed into?,The fairy godmother transformed a pumpkin into a coach.,"coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers",coach,1,0.2,0.3333,0.25,4.067
gmm,1,How did Cinderella reach her happy ending?,"The prince found Cinderella by fitting the glass slipper on her foot, recognized her, and they married.",Cinderella married the prince,"prince, slipper, married",0,1.0,0.2353,0.381,1.161
gmm,2,Who helped Cinderella attend the ball?,Her fairy godmother appeared and transformed a pumpkin into a coach and her worn clothes into a beautiful gown.,fairy godmother,"fairy, godmother",1,1.0,0.1053,0.1905,0.998
gmm,3,What did Cinderella leave behind at the ball?,Cinderella left behind one glass slipper when she fled before midnight.,glass slipper,"glass, slipper",1,1.0,0.1818,0.3077,0.982
gmm,4,Why did Cinderella have to leave the ball before midnight?,The magic from the fairy godmother would end at midnight.,the magic would end,"magic, midnight",0,1.0,0.4,0.5714,1.04
gmm,5,How did the prince find Cinderella after the ball?,The prince searched the kingdom for the woman whose foot fit the glass slipper.,The prince searched the kingdom for the woman whose foot fit the slipper,"searched, slipper, fit",1,1.0,0.9286,0.963,1.654
gmm,6,What does the fairy godmother symbolize in the story?,The fairy godmother symbolizes hope.,hope,hope,1,1.0,0.2,0.3333,0.879
gmm,7,What is the glass slipper's role in the story?,The lost slipper is the key piece of evidence that allows the prince to identify Cinderella.,The lost slipper becomes the key piece of evidence that allows the prince to identify Cinderella,"evidence, identify",1,0.9375,0.9375,0.9375,1.825
gmm,8,Who forced Cinderella to work day and night?,Her cruel stepmother and two jealous stepsisters forced her to work.,her cruel stepmother and two jealous stepsisters,"stepmother, stepsisters",1,1.0,0.6364,0.7778,1.773
gmm,9,What themes does the Cinderella story illustrate?,"The story illustrates transformation, perseverance, and recognition.","transformation, perseverance, and recognition","transformation, perseverance",1,1.0,0.5714,0.7273,1.235
gmm,10,What was the pumpkin transformed into?,The fairy godmother transformed a pumpkin into a coach.,"coach, mice into horses, and Cinderella's worn clothes into a beautiful gown with glass slippers",coach,1,0.2,0.3333,0.25,2.112
leiden,1,How did Cinderella reach her happy ending?,"The prince found Cinderella by fitting the glass slipper on her foot, recognized her, and they married.",Cinderella married the prince,"prince, slipper, married",0,1.0,0.2353,0.381,1.152
leiden,2,Who helped Cinderella attend the ball?,Her fairy godmother appeared and transformed a pumpkin into a coach and her worn clothes into a beautiful gown.,fairy godmother,"fairy, godmother",1,1.0,0.1053,0.1905,0.976
