method,article_id,question_id,difficult,gold_label,predicted_index,correct,parsed,predicted_raw,tree_layers
agglomerative,52845,52845_75VB1ISR_1,0,2,3,0,1,C,1
agglomerative,52845,52845_75VB1ISR_2,1,2,3,0,1,C,1
agglomerative,52845,52845_75VB1ISR_3,1,3,3,1,1,C,1
agglomerative,52845,52845_75VB1ISR_4,1,4,1,0,1,A,1
agglomerative,52845,52845_75VB1ISR_5,1,1,1,1,1,A,1
agglomerative,52845,52845_75VB1ISR_6,0,4,4,1,1,D,1
agglomerative,30029,30029_F5N22U40_1,1,2,2,1,1,B,1
agglomerative,30029,30029_F5N22U40_2,1,1,2,0,1,B,1
agglomerative,30029,30029_F5N22U40_3,0,2,2,1,1,B,1
agglomerative,30029,30029_F5N22U40_4,1,2,4,0,1,D,1
agglomerative,30029,30029_F5N22U40_5,1,2,2,1,1,B,1
agglomerative,30029,30029_F5N22U40_6,1,4,4,1,1,D,1
agglomerative,30029,30029_F5N22U40_7,1,4,4,1,1,D,1
agglomerative,30029,30029_F5N22U40_8,0,1,1,1,1,A,1
agglomerative,30029,30029_F5N22U40_9,0,4,4,1,1,D,1
agglomerative,62139,62139_J05FWZR6_1,0,4,4,1,1,D,1
agglomerative,62139,62139_J05FWZR6_2,0,4,4,1,1,D,1
agglomerative,62139,62139_J05FWZR6_3,0,2,2,1,1,B,1
agglomerative,62139,62139_J05FWZR6_4,0,4,1,0,1,A,1
agglomerative,62139,62139_J05FWZR6_5,0,2,2,1,1,B,1
agglomerative,62139,62139_J05FWZR6_6,0,2,2,1,1,B,1
agglomerative,62139,62139_J05FWZR6_7,1,4,2,0,1,B,1
agglomerative,62139,62139_J05FWZR6_8,0,1,1,1,1,A,1
agglomerative,62139,62139_J05FWZR6_9,1,4,4,1,1,D,1
agglomerative,63523,63523_STSHLFEA_1,0,3,3,1,1,C,1
agglomerative,63523,63523_STSHLFEA_2,0,4,4,1,1,D,1
agglomerative,63523,63523_STSHLFEA_3,1,1,1,1,1,A,1
agglomerative,63523,63523_STSHLFEA_4,1,4,4,1,1,D,1
agglomerative,63523,63523_STSHLFEA_5,1,4,4,1,1,D,1
agglomerative,63523,63523_STSHLFEA_6,1,3,1,0,1,A,1
agglomerative,63523,63523_STSHLFEA_7,0,1,1,1,1,A,1
agglomerative,63523,63523_STSHLFEA_8,1,4,4,1,1,D,1
agglomerative,63523,63523_STSHLFEA_9,0,3,3,1,1,C,1
agglomerative,63523,63523_STSHLFEA_10,1,4,4,1,1,D,1
agglomerative,63401,63401_ZCP5ZDGL_1,0,1,1,1,1,A,1
agglomerative,63401,63401_ZCP5ZDGL_2,1,4,4,1,1,D,1
agglomerative,63401,63401_ZCP5ZDGL_3,0,3,3,1,1,C,1
agglomerative,63401,63401_ZCP5ZDGL_4,1,1,1,1,1,A,1
agglomerative,63401,63401_ZCP5ZDGL_5,0,2,4,0,1,D,1
agglomerative,63401,63401_ZCP5ZDGL_6,1,3,3,1,1,C,1
agglomerative,63401,63401_ZCP5ZDGL_7,1,1,2,0,1,B,1
agglomerative,63401,63401_ZCP5ZDGL_8,0,3,2,0,1,B,1
agglomerative,63401,63401_ZCP5ZDGL_9,1,2,3,0,1,C,1
agglomerative,63401,63401_ZCP5ZDGL_10,1,3,3,1,1,C,1
agglomerative,62476,62476_Z8GFDCIZ_1,1,1,1,1,1,A,1
agglomerative,62476,62476_Z8GFDCIZ_2,0,1,2,0,1,B,1
agglomerative,62476,62476_Z8GFDCIZ_3,1,3,1,0,1,A,1
agglomerative,62476,62476_Z8GFDCIZ_4,0,1,1,1,1,A,1
agglomerative,62476,62476_Z8GFDCIZ_5,0,4,3,0,1,C,1
agglomerative,62476,62476_Z8GFDCIZ_6,1,3,3,1,1,C,1
