method,q_num,type,question,ground_truth,predicted,f1,rouge_l,contains_em,retrieval_hit
original,1,local,What was the Logic Theorist and who created it?,"The Logic Theorist was the first AI program, presented by Allen Newell and Herbert Simon at the 1956 Dartmouth Conference. It could prove mathematical theorems from Principia Mathematica.","The Logic Theorist was an artificial intelligence program that could prove mathematical theorems from Whitehead and Russell's Principia Mathematica, which was created by Allen Newell and Herbert Simon at the conference held at Dartmouth College in 1956.",0.7077,0.4308,1,0
original,2,local,What caused the first AI winter?,"The first AI winter was caused by the failure of AI to scale beyond simple problems, disappointing results in machine translation, and the critical 1973 Lighthill Report that led to funding cuts from both the British government and DARPA.","The first AI winter was caused by several factors including the failure of AI research to achieve its grand objectives as outlined in the Lighthill Report, the collapse of the expert system boom, and the reduction in funding due to disappointing results from DARPA and other sources. Additionally, the term ""AI"" itself became stigmatized in grant applications during this time. The financial downturn led to a significant decrease in both funding and public interest in AI research.",0.4655,0.3448,1,0
original,3,local,Why did expert systems fail in the late 1980s?,"Expert systems proved expensive to maintain, difficult to update, and brittle when facing situations outside their narrow domains. The specialized Lisp machines became obsolete as general-purpose desktops became more powerful.","Expert systems failed because they were expensive to maintain, difficult to update, and brittle when confronted with situations outside their narrow training domains. They became obsolete due to the rise of general-purpose desktop computers becoming more powerful and affordable. Additionally, the specialized Lisp machines used to run these systems became outdated.",0.642,0.5185,1,0
original,4,local,What was the significance of AlexNet in 2012?,"AlexNet was a deep convolutional neural network that won the ImageNet competition by a dramatic margin, proving that deep learning could vastly outperform traditional computer vision methods and triggering massive investment in the field.","AlexNet, developed by Alex Krizhevsky, Ilya Sutskever, and Geoffrey Hinton, won the ImageNet competition in 2012, demonstrating that deep neural networks could vastly outperform traditional computer vision methods. It sparked an explosion of research and investment in deep learning.",0.5753,0.4658,1,0
original,5,local,What is the Turing Test?,"The Turing Test, proposed by Alan Turing in 1950, asks whether machines can exhibit intelligent behavior indistinguishable from that of humans. It was introduced in his paper Computing Machinery and Intelligence.","The Turing Test is a test devised by Alan Turing in his 1950 paper ""Computing Machinery and Intelligence"" to determine if a machine exhibits intelligent behavior indistinguishable from that of humans around the same time as Claude Shannon established information theory, which provided the mathematical foundation for digital communication and computing. It involves a human evaluator interacting with both a machine and a human conversationalist via teletype, trying to determine which is which based solely on written responses.",0.4037,0.3119,1,0
original,6,cross,How did neural network research evolve from the Perceptron to deep learning?,"Frank Rosenblatt invented the Perceptron in 1958, but Minsky and Papert's 1969 book showed its limitations, stalling research for over a decade. Neural networks revived through deep learning, culminating in AlexNet's 2012 ImageNet victory and the 2017 Transformer architecture.","Neural network research evolved significantly after the publication of ""Perceptrons"" in 1969, when Marvin Minsky and Seymour Papert demonstrated fundamental limitations of single-layer neural networks. Following this setback, there was a hiatus in neural network research spanning over a decade until the resurgence of neural networks under the banner of deep learning in the 2010s. Key milestones included the creation of the Perceptron by Frank Rosenblatt in 1958, the groundbreaking work of Marvin Minsky and Seymour Papert in 1969, and the significant advancements seen in the 1990",0.3333,0.254,1,0
original,7,cross,Compare the two AI winters — what caused each and how long did they last?,"The first AI winter lasted from roughly 1974 to 1980, caused by the failure to scale beyond toy problems and the critical Lighthill Report. The second lasted from about 1987 to 1993, caused by the collapse of the expert systems market and the failure of Japan's Fifth Generation project.","The first AI winter lasted from 1956 to 1974, while the second AI winter occurred between 1987 and 1993. Both periods were marked by significant reductions in funding and public interest in AI research due to various factors including failures in achieving grand objectives, high costs associated with maintaining and updating expert systems, and shifts towards alternative methodologies like machine learning. The first AI winter was primarily attributed to the failure of AI research to deliver on its promises, whereas the second AI winter was influenced by the perceived lack of relevance of AI to practical needs and the redirection of funding away from AI towards",0.3742,0.2452,1,0
original,8,cross,How did government funding influence AI's progress and setbacks?,"DARPA funding fueled the golden years of AI in the 1960s and early 1970s. Funding cuts after the Lighthill Report caused the first AI winter. Government initiatives in the 1980s responded to Japan's Fifth Generation project, but DARPA again pulled back after expert systems failed, causing the second winter.","Government funding influenced AI's progress and setbacks significantly throughout history. During the golden years of AI research from 1956 to 1974, generous government funding, particularly from the US Defense Advanced Research Projects Agency (DARPA), fueled rapid progress. However, after the first AI winter from 1974 to 1980, reductions in funding led to a decline in AI research. The Second AI Winter saw the collapse of the expert systems boom in the late 1980s and early 1990s due to high maintenance costs and difficulties in updating these specialized systems. Additionally",0.4203,0.2464,1,0
original,9,cross,What role did games play in AI history?,"Games were key milestones: Herbert Simon predicted a chess champion computer in 1957. IBM's Deep Blue beat Kasparov in 1997, forty years late. DeepMind's AlphaGo defeated Go champion Lee Sedol in 2016, a feat thought decades away.","Games played a significant role in the early development of AI, particularly in the form of game-playing programs like Chess and Checkers. For example, in 1956, Allen Newell and Herbert Simon created the General Problem Solver, which aimed to formalize human problem-solving as a search through a state space. Additionally, in 1969, Marvin Minsky and Seymour Papert published ""Perceptrons,"" demonstrating fundamental limitations of single-layer neural networks, which effectively stalled neural network research for over a decade. Furthermore, in 1997, IBM's Deep Blue defeated the world chess champion Garry Kas",0.2381,0.1587,1,0
original,10,cross,How did the approach to building AI systems shift from the 1980s to the 2000s?,"AI shifted from hand-coded expert systems with explicit rules in the 1980s to data-driven machine learning and statistical approaches in the 1990s-2000s, where computers learned patterns from large datasets rather than following human-specified rules.","From the 1980s to the 2000s, the approach to building AI systems shifted towards machine learning and statistical methods rather than hand-coded rules. Key figures like John McCarthy and Marvin Minsky contributed significantly to this change, emphasizing the importance of learning algorithms and data-driven approaches in AI research. The period from 1956 to 1974 is often referred to as the golden years of AI research, during which significant advancements were made in areas such as expert systems and machine learning. The shift towards machine learning and statistical methods allowed for more flexible and adaptable AI systems capable of handling complex tasks",0.3259,0.1778,1,0
